trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
26,False,"{'a': 0.5, 'e': 0.7399999999999998}",20,10,-31.244215793579183,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.7299999999999998}",25,10,-104.22170767761827,"{0: 9, 1: 1, 2: 1, 3: 3, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.7199999999999998}",30,10,-133.54083510008326,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.7099999999999997}",20,10,-23.159006687689956,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,10,5.100638990323393,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.6899999999999997}",30,10,3.7263641679111266,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.6799999999999997}",25,10,-13.067735896730559,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.6699999999999997}",20,10,-79.41187670262248,"{0: 4, 1: 1, 2: 4, 3: 0, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.6599999999999997}",30,22,15.21995944901331,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,10,3.929207199155389,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.6399999999999997}",20,10,-6.630522972391671,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.6299999999999997}",25,10,3.59829321962097,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.6199999999999997}",30,10,-40.952112842236644,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
