trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
54,False,"{'a': 0.22, 'e': 0.938083151964685}",25,10,-153.9348851284271,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 3}",0
55,False,"{'a': 0.22, 'e': 0.9368979548370121}",20,10,-33.80664141980268,"{0: 6, 1: 1, 2: 2, 3: 1, 4: 0}",0
56,False,"{'a': 0.22, 'e': 0.935711256507879}",30,10,-38.10814872756441,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
57,False,"{'a': 0.22, 'e': 0.9345230512584114}",25,10,-8.511894208686865,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 0}",0
58,False,"{'a': 0.22, 'e': 0.9333333333333323}",25,10,-39.74718513681455,"{0: 11, 1: 1, 2: 1, 3: 2, 4: 0}",0
59,False,"{'a': 0.22, 'e': 0.9321420969406365}",20,10,13.1657248954279,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",0
60,False,"{'a': 0.22, 'e': 0.9309493362512617}",20,10,-82.94263324509024,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 2}",0
61,False,"{'a': 0.22, 'e': 0.9297550453987559}",25,10,-85.95243400106918,"{0: 8, 1: 0, 2: 6, 3: 0, 4: 1}",0
62,False,"{'a': 0.22, 'e': 0.9285592184789403}",25,10,-51.28172321792023,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",0
63,False,"{'a': 0.22, 'e': 0.9273618495495694}",25,10,-37.66934038840935,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",0
64,False,"{'a': 0.22, 'e': 0.926162932629986}",20,10,-106.69882879088028,"{0: 5, 1: 1, 2: 1, 3: 1, 4: 2}",0
65,False,"{'a': 0.22, 'e': 0.9249624617007728}",30,10,-42.18020223120485,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
66,False,"{'a': 0.22, 'e': 0.9237604307034001}",25,10,-35.03888375939621,"{0: 11, 1: 1, 2: 1, 3: 2, 4: 0}",0
